id,tempo_casa_meses,plano,valor_mensal,uso_gb,chamados_suporte,cancelou
73,56,Padrao,62.86,21.8,6,Nao
74,18,Premium,112.0,16.6,1,Nao
75,27,Basico,32.35,13.7,4,Sim
76,65,Padrao,96.57,11.4,2,Nao
77,26,Premium,128.57,19.3,2,Nao
78,61,Basico,31.15,9.3,4,Nao
79,53,Padrao,59.13,17.7,4,Nao
80,54,Premium,161.53,23.3,1,Nao
81,31,Basico,41.31,28.6,2,Nao
82,16,Basico,43.42,37.5,3,Sim
83,56,Basico,41.21,38.9,5,Sim
84,68,Padrao,66.5,16.0,4,Sim
85,11,Basico,43.68,2.0,4,Sim
86,37,Premium,168.92,28.3,0,Nao
87,3,Padrao,63.54,39.5,2,Nao
88,16,Premium,110.43,14.6,4,Nao
89,47,Padrao,63.92,2.4,5,Sim
90,44,Premium,126.23,14.8,2,Nao
91,7,Premium,128.6,33.9,1,Nao
92,64,Basico,38.02,21.4,4,Sim
93,3,Padrao,73.97,31.2,2,Sim
94,36,Padrao,72.27,14.1,5,Sim
95,22,Basico,35.66,26.1,6,Sim
96,6,Padrao,84.09,20.2,4,Sim
97,4,Padrao,84.59,8.7,6,Sim
98,22,Premium,158.21,29.6,0,Nao
99,35,Padrao,70.67,5.1,5,Nao
100,18,Premium,166.67,5.7,0,Nao
101,18,Basico,29.34,4.1,5,Nao
102,50,Padrao,68.32,7.1,6,Sim
103,46,Premium,152.41,33.0,4,Sim
104,33,Padrao,75.28,3.1,1,Nao
105,45,Basico,29.58,14.3,5,Nao
106,18,Basico,45.29,4.5,3,Sim
107,20,Padrao,91.6,29.9,1,Nao
108,72,Premium,128.09,18.3,5,Sim
109,21,Padrao,71.1,22.3,2,Sim
110,31,Premium,118.98,20.9,1,Sim
111,21,Padrao,60.24,34.9,2,Sim
112,53,Padrao,65.78,19.1,0,Nao
113,57,Premium,144.74,33.5,1,Nao
114,44,Basico,31.07,33.9,3,Sim
115,27,Padrao,64.34,13.8,2,Nao
116,20,Padrao,83.22,4.7,0,Nao
117,63,Basico,47.22,29.9,5,Sim
118,2,Padrao,60.35,19.8,4,Sim
119,36,Basico,47.08,3.9,6,Sim
120,17,Basico,45.17,13.2,6,Nao
121,44,Basico,30.41,8.4,4,Nao
122,12,Padrao,77.29,35.4,6,Nao
123,41,Premium,140.55,27.3,2,Nao
124,5,Padrao,64.03,26.6,5,Sim
125,48,Premium,118.42,31.3,3,Sim
126,60,Basico,42.03,13.1,0,Nao
127,39,Premium,113.3,25.9,2,Nao
128,2,Basico,45.06,35.2,1,Nao
129,9,Padrao,85.75,20.6,6,Sim
130,46,Premium,139.22,27.4,0,Sim
131,53,Padrao,82.25,17.4,3,Nao
132,64,Padrao,77.67,22.9,4,Nao
133,51,Premium,114.69,25.8,2,Nao
134,29,Premium,152.6,37.4,4,Nao
135,72,Premium,137.72,39.0,1,Nao
136,13,Premium,116.63,6.9,0,Nao
137,56,Padrao,76.34,10.7,0,Nao
138,2,Padrao,90.55,22.6,3,Sim
139,66,Premium,131.32,39.2,1,Sim
140,21,Padrao,65.56,35.0,2,Nao
141,47,Premium,113.66,8.4,6,Nao
142,11,Premium,156.56,18.0,1,Sim
143,37,Padrao,73.98,30.0,0,Nao
144,45,Basico,29.37,5.4,3,Nao
145,53,Premium,143.58,13.9,6,Sim
146,22,Padrao,64.1,12.9,4,Nao
147,27,Premium,150.99,33.3,1,Nao
148,58,Padrao,68.87,8.7,1,Nao
149,56,Padrao,88.49,39.2,4,Nao
150,58,Premium,127.97,34.2,2,Sim
151,20,Basico,35.63,7.4,3,Nao
152,28,Premium,159.66,34.0,2,Nao
153,40,Basico,38.93,22.7,1,Nao
154,24,Basico,31.21,16.9,5,Sim
155,7,Premium,152.69,16.6,1,Sim
156,35,Basico,40.87,8.3,2,Nao
157,57,Padrao,70.97,35.3,1,Nao
158,46,Basico,29.85,25.7,4,Nao
159,65,Premium,160.12,0.9,6,Sim
160,48,Padrao,59.08,35.7,6,Sim
161,47,Padrao,87.24,25.6,4,Nao
162,49,Basico,35.28,36.7,2,Nao
163,61,Basico,44.67,12.8,5,Sim
164,44,Basico,46.3,8.6,5,Sim
165,26,Padrao,83.56,34.6,5,Sim
166,35,Basico,37.89,8.3,2,Nao
167,71,Basico,36.41,32.9,0,Nao
168,26,Basico,48.26,36.3,1,Nao
169,18,Padrao,94.26,1.1,5,Sim
170,20,Basico,35.74,3.8,3,Sim
171,41,Premium,113.73,22.2,6,Sim
172,48,Padrao,59.27,15.8,1,Nao
173,33,Padrao,88.16,14.1,4,Sim
174,18,Padrao,66.71,16.3,0,Nao
175,29,Premium,135.32,32.2,2,Nao
176,40,Basico,38.0,34.4,1,Nao
177,22,Premium,154.79,28.5,3,Nao
178,61,Basico,43.49,9.3,5,Nao
179,57,Basico,44.44,15.3,3,Nao
180,12,Padrao,64.75,26.9,3,Nao
181,28,Premium,141.03,6.7,1,Nao
182,67,Padrao,82.64,34.0,1,Nao
183,22,Padrao,88.32,1.8,6,Nao
184,48,Padrao,94.99,34.6,3,Nao
185,27,Padrao,93.87,18.2,0,Nao
186,10,Premium,116.06,2.3,3,Sim
187,5,Basico,45.5,2.3,2,Sim
188,67,Premium,164.8,18.4,4,Nao
189,38,Padrao,69.23,2.9,3,Sim
190,1,Basico,43.59,16.7,5,Sim
191,26,Basico,33.46,2.3,2,Nao
192,40,Padrao,92.0,10.8,0,Nao
193,3,Premium,119.7,36.2,2,Nao
194,44,Basico,36.26,16.3,4,Nao
195,48,Premium,137.84,2.7,1,Nao
196,56,Basico,37.02,2.5,3,Sim
197,39,Basico,37.91,18.0,6,Sim
198,63,Basico,37.33,21.6,5,Nao
199,34,Premium,119.16,37.4,6,Nao
200,11,Basico,42.21,26.5,3,Sim
201,13,Padrao,71.2,12.0,2,Nao
202,36,Premium,119.26,39.2,0,Nao
203,70,Basico,32.63,37.2,6,Nao
204,41,Premium,118.89,30.5,4,Sim
205,68,Padrao,92.6,13.4,1,Nao
206,8,Premium,159.33,10.2,0,Nao
207,70,Padrao,65.7,10.0,6,Nao
208,69,Padrao,86.22,16.5,5,Nao
209,51,Premium,158.96,0.9,5,Sim
210,36,Basico,40.43,23.6,1,Nao
211,32,Premium,130.57,28.6,2,Nao
212,16,Basico,32.17,8.7,0,Nao
213,66,Padrao,77.62,40.0,3,Nao
214,68,Premium,162.0,38.0,0,Nao
215,12,Basico,47.48,13.2,1,Nao
216,60,Basico,47.45,15.7,0,Nao
217,2,Padrao,71.54,25.6,5,Sim
218,61,Premium,162.56,7.1,1,Nao
219,16,Padrao,87.81,1.2,4,Sim
220,72,Premium,133.94,1.3,2,Nao
221,41,Basico,40.89,33.8,4,Nao
222,64,Basico,39.95,34.1,0,Nao
223,35,Basico,36.73,32.3,5,Nao
224,46,Padrao,78.84,17.7,5,Sim
225,19,Basico,36.37,32.4,0,Nao
226,5,Padrao,66.23,30.0,5,Sim
227,63,Basico,42.58,1.9,1,Nao
228,59,Premium,128.99,23.9,2,Nao
229,4,Premium,114.86,34.8,4,Sim
230,55,Basico,34.39,13.0,0,Nao
231,36,Premium,123.99,10.7,3,Nao
232,70,Premium,131.79,26.0,0,Nao
233,36,Premium,166.81,39.5,6,Sim
234,40,Padrao,83.39,16.7,5,Nao
235,58,Basico,35.85,27.2,1,Nao
236,44,Padrao,70.81,38.5,1,Nao
237,40,Premium,117.02,34.4,5,Sim
238,24,Padrao,76.84,17.8,1,Sim
239,19,Padrao,65.8,27.2,2,Nao
240,28,Premium,155.6,39.7,4,Nao
241,33,Premium,153.67,28.1,4,Sim
242,35,Premium,123.73,21.4,0,Nao
243,53,Padrao,91.23,4.8,2,Sim
244,64,Padrao,86.92,26.0,6,Sim
245,72,Premium,157.18,36.3,4,Sim
246,61,Premium,132.2,19.5,1,Nao
247,11,Padrao,92.19,24.2,3,Sim
248,41,Premium,158.43,12.1,2,Sim
249,2,Premium,141.28,6.4,2,Sim
250,57,Padrao,59.55,20.6,0,Nao
